2,1
3,1
4,1
4,2
4,3
4,4
4,5
4,6
5,6
6,6
7,6
9,6
10,6
11,6
12,6
13,6
13,7
13,8
13,9
13,10
13,11
13,13
13,14
13,15
13,16
13,19
13,20
13,21
13,22
13,23
13,24
12,25
11,25
10,25
9,25
8,25
5,25
4,25
2,26
2,27
2,28
2,29
3,31
4,31
5,31
6,31
8,30
8,29
9,28
10,28
11,28
12,28
13,28
14,28
15,28
17,27
17,26
17,25
17,22
17,20
17,19
17,18
18,17
21,16
21,15
21,12
21,11
21,10
21,9
22,6
23,6
25,5
25,4
26,3
27,3
28,3
30,4
30,5
30,7
30,10
30,13
29,15
28,15
27,15
24,16
25,19
28,20
27,23
24,24
